clean_tweet,Sentiment
mana nih jakarta membuat aturan aneh bikin perpustakaan nakal efektif pak lebih efektif aturan jabar mendidik nakal dibawa jadi disiplin,Positif
aku suka kebijakan beberapa kurang setuju sihhapalagi pas malah kasih duit jadi gimana gitu,Positif
gini orang tua jakarta putus asa anaknya sering tawuran bawa kantor bandung minta dimasukkan orang tua sumatera selatan usah gengsi masa depan anaknya,Negatif
kan barakbarak gt,Netral
melepas peserta pembinaan karakter depok pemkot depok melaluibadan kesatuan bangsa politik bakesbangpol menggelar pembinaan karakter bela negara remaja,Netral
bawa,Netral
menyanyi membicarakan katanya masuk uang satu juta kalau percaya tanya aja,Netral
memang aneh satu sisi diadakan jam malam pekerjaan rumah terus siswa disuruh ngapain kebanyakan main game dibawa disuruh membantu orang tua membantu apa wong orang tuanya kerja sawah siang hari padahal siswa sekolah,Negatif
habis menfasilitasi jawa barat tank transum penetapan titik transit,Netral
membuat kucing kurang ajar mau masukkan kucingkucing pak jemput nih,Negatif
polisi patut dikirim,Netral
si malah ribut membuat kebijakan ga jelas kek anjrit,Negatif
sunda hasil didikan,Netral
melawan konspirasi,Netral
jangan percaya omongan buzzer bilang kebijakan soal menghilangkan tawuran membuat muda takut membuat tawuran subuh tadi terjadi tawuran bersenjata tajam limo depok,Negatif
merespon terkait pelaporan wali murid bareskrim polri buntut kebijakan siswa masuk,Netral
dilaporkan bareskrim polri terkait kebijakannya kirim siswa nakal,Negatif
telepon suruh masukin,Netral
lapor biar masukin sih,Netral
heboh denny cagur kritik netizen ungkit jejak digital ikut latihan,Netral
norak kalo mau semua tertib sopan santun nonton aja sama sana kampung,Negatif
kembar siee sodara kmd sama sama nya xixixixixi,Netral
banyak loh nyari termasuk katanya mbak mau dimasukin,Netral
soal materi diajarkan dodik rindam siswa bermasalah versi apa pahami lebih fokus pembentukan karakter kedisiplinan bukan sematamata pelatihan ala tentara,Positif
tebak siapa tokohnya dilaporkan bareskrim atas kebijakan,Netral
kalo perlu laporin biar kirim,Netral
nakal dibawa psikolog ahli kak seto bukan dilakukan dasar ilmiahnya jelas,Negatif
